Date,AAPL,MSFT,TSLA
2024-01-03,-0.4795530334277047,-0.1005420855008235,-1.0527769789323596
2024-01-04,-0.7759406769560226,-0.5617664649594123,-0.1047980414303686
2024-01-05,-0.2819888523580557,-0.085401797134018,-0.0965169303595397
2024-01-08,1.3207787444449148,1.301043282247473,0.2609870205961124
2024-01-09,-0.1825088494278884,0.1614544037088358,-0.6206238048474118
2024-01-10,0.2686645143685855,1.2797733634642727,-0.1587603967185152
2024-01-11,-0.2370288029940144,0.2990165643786656,-0.7678221373196885
2024-01-12,0.0472889389445715,0.6654520881437894,-0.966025713263698
2024-01-16,-0.754163331292511,0.2828624081367407,0.0660665732538395
2024-01-17,-0.3479737157531012,-0.1950635239476165,-0.5455442199799785
2024-01-18,1.7981803881765384,0.7594049323962161,-0.4756041282890905
2024-01-19,0.8294079342002532,0.8230058111377179,-0.0137827519532809
2024-01-22,0.637791364978092,-0.4359413631939404,-0.4493784863398581
2024-01-23,0.324501292631936,0.3825670981158822,-0.0096550687503834
2024-01-24,-0.2519141810692675,0.6076412544132819,-0.2067815038485695
2024-01-25,-0.1502782755540745,0.3618772530405081,-3.0789570170473746
2024-01-26,-0.5662661091227376,-0.2145157036906431,0.0344676971947808
2024-01-29,-0.2577096985161526,0.9765646677309324,0.9964897124602112
2024-01-30,-1.1481269491658186,-0.2457151563383585,0.0360155298334115
2024-01-31,-1.1544965772701707,-1.975438584098875,-0.6109231109917529
2024-02-01,0.5228388135752308,0.8346591372889971,0.3919107578156216
2024-02-02,-0.006735836122594402,0.8955383302429082,0.24990658258466508
2024-02-05,0.44003804244962175,-0.29353005753675376,-0.16010748543819903
2024-02-06,0.4041716928816078,0.1769658293433529,0.5389538909894569
2024-02-07,0.23840071242347474,0.9301583022644883,0.42615983907658284
2024-02-08,0.053791586040184663,0.17641629185635185,0.38141933969022684
2024-02-09,0.33543212981062553,0.7445821564733963,0.4856507181635552
2024-02-12,-0.04692180447684949,-0.32421695563400277,-0.1287478164450819
2024-02-13,-0.12785667046704524,-0.7602391601897276,-0.030812933076864557
2024-02-14,0.0722836626010046,0.3454133190318495,0.5311615762371402
2024-02-15,0.1676758800490164,-0.2701422685274897,0.8634349398493142
2024-02-16,0.11874490359969803,-0.22883181922163007,0.06135937256452703
2024-02-20,0.2911132681184305,-0.09984635206674952,-0.31587592780186563
2024-02-21,0.5574561790815246,-0.034951895537319214,0.13850195539144927
